,districts,longitude,latitude,year,pop,spei,dep.index,built,temp.jan,temp.apr,temp.jul,temp.oct,total.con,protests,battles,expl,riots,vac,sd,precip.jan,precip.apr,precip.jul,precip.oct
1,Abbottabad,73.27495694,34.10404106,2010,1204572,0.700065747,73.03056193,1.08956408,12.22515488,22.27723865,26.21190718,21.02837202,24,17,0,0,7,0,0,0.898353857,1.952292857,7.321663489,0.414163904
2,Abbottabad,73.27495694,34.10404106,2011,1225491,1.327205429,73.03056193,1.08956408,8.943754965,18.52850807,25.54684876,19.96750299,10,10,3,7,2,2,0,0.703731996,3.549634819,3.01944073,1.586815551
3,Abbottabad,73.27495694,34.10404106,2012,1244756,-0.197068775,73.03056193,1.08956408,6.417257428,18.5072012,28.13243735,18.93262835,12,15,1,5,0,3,0,1.71419876,2.918140863,2.388209518,0.710372261
4,Abbottabad,73.27495694,34.10404106,2013,1264224,0.965305773,73.03056193,1.08956408,8.77131137,18.82190366,26.45778845,20.75081453,12,16,1,3,2,2,0,1.011071157,2.746425528,3.176681244,0.891570277
5,Abbottabad,73.27495694,34.10404106,2014,1282908,0.726226838,73.03056193,1.08956408,9.730617648,18.14498442,26.17611163,19.17368007,6,14,4,4,1,1,0,0.676454362,1.931512173,3.762768209,1.27649066
6,Abbottabad,73.27495694,34.10404106,2015,1302026,1.694706326,73.03056193,1.08956408,9.844183261,19.35713221,25.02546967,19.68461879,10,11,7,2,1,3,0,1.316523335,3.294462343,6.276466707,1.659547948
7,Abbottabad,73.27495694,34.10404106,2016,1454985,1.177140719,73.03056193,1.08956408,10.01840243,19.81331228,25.67163599,21.75841638,9,13,3,4,2,1,1,1.260582688,3.157954742,5.694488107,0.236166591
8,Abbottabad,73.27495694,34.10404106,2017,1578204,0.088482094,73.03056193,1.08956408,7.249787834,21.09144035,25.68619569,22.06942565,19,17,1,1,3,1,1,4.562943998,3.895573504,5.50421347,0.235736646
9,Abbottabad,73.27495694,34.10404106,2018,1600833,-1.044127181,73.03056193,1.08956408,11.0818993,20.79676635,25.64422115,18.46820963,20,15,1,1,5,2,0,0.286470179,4.636846801,6.953391539,1.455132891
10,Abbottabad,73.27495694,34.10404106,2019,1761528,0.525703613,73.03056193,1.08956408,6.348152149,20.86161025,26.08711994,19.65031473,33,19,0,2,0,3,0,3.190750006,2.484947188,4.152632962,0.947582582
11,Abbottabad,73.27495694,34.10404106,2020,1798278,0.998316228,73.03056193,1.08956408,6.599999344,18.76259954,27.23136985,21.66040478,56,23,1,0,0,0,0,3.228011924,3.076599556,3.314000964,0.098846871
12,Abbottabad,73.27495694,34.10404106,2021,1834322,-0.458995075,73.03056193,1.08956408,10.41478122,18.95272783,26.33463474,20.22055758,41,20,1,0,2,1,0,1.243360994,2.151476914,6.296889104,1.567730762
13,Abbottabad,73.27495694,34.10404106,2022,1871088,-0.458995075,73.03056193,1.08956408,7.76932033,24.90927621,25.05451804,20.47822865,56,20,0,2,2,0,0,3.553599869,0.921475354,6.163725522,0.613252417
14,Astore,74.88343401,35.14424788,2010,106390,0.912551284,83.19152517,0.004129371,-12.87892995,-2.062876546,10.45891011,0.952376898,0,0,0,0,0,0,0,1.083126787,2.36365487,4.024652608,0.664670678
15,Astore,74.88343401,35.14424788,2011,108057,0.738693312,83.19152517,0.004129371,-15.9884071,-4.362171833,11.80005916,0.386561147,0,0,0,0,0,0,0,0.946014078,1.365775947,2.701583836,1.35884109
16,Astore,74.88343401,35.14424788,2012,109754,-0.533022018,83.19152517,0.004129371,-17.00796447,-3.471994509,11.71532885,-2.913943928,1,0,0,0,0,0,0,1.432934979,1.716117589,1.606752269,1.108087495
17,Astore,74.88343401,35.14424788,2013,111470,0.186247458,83.19152517,0.004129371,-17.12458407,-3.306392786,13.25207496,3.589125646,1,0,0,0,0,0,0,0.999964239,1.591799731,1.94045344,0.934811617
18,Astore,74.88343401,35.14424788,2014,108685,-0.261938438,83.19152517,0.004129371,-15.60282379,-4.373535497,12.8715106,-0.70181741,0,0,0,0,0,0,0,0.973355408,2.176174877,1.938701812,1.334469567
19,Astore,74.88343401,35.14424788,2015,109602,1.195611469,83.19152517,0.004129371,-15.42621352,-3.441667731,12.93652022,-0.160978045,2,0,0,0,0,0,0,1.106702116,2.372102497,3.37410571,1.477083982
20,Astore,74.88343401,35.14424788,2016,75774,0.940605842,83.19152517,0.004129371,-14.87599913,-2.816074375,12.63713504,2.281854518,0,0,0,0,0,0,0,1.228273102,3.045651463,3.061384273,0.710913673
21,Astore,74.88343401,35.14424788,2017,82190,0.154605011,83.19152517,0.004129371,-14.27131018,-2.827911525,13.32134596,2.470775426,0,0,0,0,0,0,0,3.608720436,3.10788205,2.580570186,0.840773048
22,Astore,74.88343401,35.14424788,2018,83452,-1.238370642,83.19152517,0.004129371,-14.93137332,-2.589819098,12.52558174,-4.166645796,2,0,0,0,0,0,0,0.838233186,2.30635273,3.457363802,1.41691554
23,Astore,74.88343401,35.14424788,2019,91826,0.296103679,83.19152517,0.004129371,-16.01508804,-1.161335558,13.57101512,-0.088226924,3,0,0,0,0,0,0,2.393321089,1.847935603,1.486391499,1.222938597
24,Astore,74.88343401,35.14424788,2020,93742,0.830430535,83.19152517,0.004129371,-15.70618578,-3.162997556,11.57292794,2.321935107,5,0,0,0,0,0,0,2.714959909,1.835682165,2.894923823,0.505686498
25,Astore,74.88343401,35.14424788,2021,95617,-0.366336765,83.19152517,0.004129371,-16.41587025,-5.508978561,12.78237686,-0.550230873,5,0,0,0,0,0,0,1.343450644,2.059221821,3.849083689,1.704716079
26,Astore,74.88343401,35.14424788,2022,97530,-0.366336765,83.19152517,0.004129371,-14.3754771,-0.765430252,13.47179613,-0.455178561,5,0,0,0,0,0,0,1.956329565,1.005728689,3.54493727,1.201958864
27,Attock,72.30497547,33.48684267,2010,1781469,0.420423215,78.34485893,0.938090596,17.21082588,31.57452262,34.1359127,27.94409477,13,7,2,0,4,0,0,0.249168831,0.294982639,5.909662031,0.180680153
28,Attock,72.30497547,33.48684267,2011,1811864,1.232494853,78.34485893,0.938090596,14.78272775,26.97965906,33.51575541,27.19877146,4,7,0,2,1,2,1,0.323961097,1.139386292,2.745177018,0.765334726
29,Attock,72.30497547,33.48684267,2012,1840346,0.627522695,78.34485893,0.938090596,13.22718876,27.9172639,37.4067302,26.27990991,6,8,2,2,1,0,0,1.095763916,0.742511612,0.863865351,0.255130814
30,Attock,72.30497547,33.48684267,2013,1868954,1.310787648,78.34485893,0.938090596,14.62042014,26.88475443,33.42309308,28.21299761,10,11,1,1,0,0,0,0.1866228,0.497915636,4.607571476,0.408795276
31,Attock,72.30497547,33.48684267,2014,1897417,0.85216685,78.34485893,0.938090596,15.70074605,26.05920682,35.04867981,25.5890916,5,6,1,4,1,1,0,0.071173035,1.26014061,2.186993648,1.006920707
32,Attock,72.30497547,33.48684267,2015,1925426,1.625761698,78.34485893,0.938090596,15.57178538,26.53342332,32.25824991,26.97168646,7,8,2,1,0,2,0,0.457573962,1.953528855,4.591419337,0.874770945
33,Attock,72.30497547,33.48684267,2016,2402113,1.483315473,78.34485893,0.938090596,15.37802815,27.33095184,33.32082912,29.7529747,4,12,0,1,0,0,0,0.665334553,0.982988986,1.823435172,0.204734336
34,Attock,72.30497547,33.48684267,2017,2605544,0.427493654,78.34485893,0.938090596,13.73270156,30.12831944,33.64174552,29.59463422,8,10,2,0,0,1,0,1.660785841,0.969415002,2.935064553,0.145662368
35,Attock,72.30497547,33.48684267,2018,2642899,-0.690180808,78.34485893,0.938090596,16.65594428,29.26950154,33.95325195,26.34083515,22,11,2,0,0,0,0,0.09317114,1.160984783,2.782669832,0.552546733
36,Attock,72.30497547,33.48684267,2019,2908193,0.445587363,78.34485893,0.938090596,13.24248236,28.36160231,34.60039343,27.43210423,16,9,0,1,1,2,0,1.353792077,1.429222437,2.223081368,0.366474867
37,Attock,72.30497547,33.48684267,2020,2968885,1.314848204,78.34485893,0.938090596,13.00186693,26.00562173,34.97200101,28.2574602,13,13,0,0,0,0,0,1.292161291,0.746088802,1.692181319,0.036632208
38,Attock,72.30497547,33.48684267,2021,3028390,-0.142966462,78.34485893,0.938090596,15.54524198,27.2990806,34.80195077,27.21761057,16,9,2,1,1,0,0,0.315749675,0.81966289,4.233797062,1.085792903
39,Attock,72.30497547,33.48684267,2022,3089088,-0.142966462,78.34485893,0.938090596,14.05515115,33.39093436,31.88077787,29.02808118,33,10,1,1,0,1,0,1.749235881,0.280957478,4.560010968,0.256883959
40,Awaran,65.38052955,26.19378384,2010,137795,-1.433776269,88.24490033,0.000220612,23.04621044,36.78121535,34.64951908,33.62661039,3,0,0,3,0,0,0,0.139223313,0.018866962,1.129807795,0.005812244
41,Awaran,65.38052955,26.19378384,2011,137740,-0.641197662,88.24490033,0.000220612,22.64958041,33.33949642,35.53334398,31.69177176,5,1,0,2,0,0,0,0.017303545,0.128538765,0.75774473,0.037268428
42,Awaran,65.38052955,26.19378384,2012,139970,-0.887146379,88.24490033,0.000220612,19.93427366,33.42041277,36.9306444,32.28024903,6,2,0,0,1,0,0,0.275841715,0.167527618,0.045174958,0.086918575
43,Awaran,65.38052955,26.19378384,2013,142399,-0.682886836,88.24490033,0.000220612,22.32788298,31.76110357,35.5212169,33.32894905,12,2,0,1,0,0,0,0.006794299,0.67846656,0.231792325,0.149156563
44,Awaran,65.38052955,26.19378384,2014,143566,-1.201737096,88.24490033,0.000220612,20.53493652,34.06745108,36.03022987,32.52020036,6,3,0,0,0,0,0,0.109636433,0.208443017,0.180163756,0.091131217
45,Awaran,65.38052955,26.19378384,2015,145611,-2.027647316,88.24490033,0.000220612,21.95283703,36.2095777,35.982046,33.29528044,17,2,0,0,0,1,0,0.18660883,0.028152663,0.226010898,0.037187931
46,Awaran,65.38052955,26.19378384,2016,140200,-2.095519821,88.24490033,0.000220612,23.69663157,34.27576562,36.12263504,33.8738752,7,3,0,0,0,0,0,0.037581469,0.034182734,0.091778766,0.00745258
47,Awaran,65.38052955,26.19378384,2017,152078,-2.145873745,88.24490033,0.000220612,20.58080136,36.85546181,35.29169592,34.66931069,8,2,1,0,0,0,0,0.529163722,0.024687743,0.39166165,0.001048649
48,Awaran,65.38052955,26.19378384,2018,154254,-2.496099591,88.24490033,0.000220612,23.65893656,35.90999624,36.61661149,33.20724208,4,2,0,0,0,1,0,0.000685521,0.115659349,0.079140839,0.06413632
49,Awaran,65.38052955,26.19378384,2019,169795,-1.417069023,88.24490033,0.000220612,22.04218383,34.83615912,35.9711263,31.87591192,2,2,0,1,0,0,0,0.352254215,0.118734309,0.246884496,0.2183709
