country,adm1,pop.2022,pop.2021,pop.2020,pop.2019,pop.2018,pop.2017,pop.2016,pop.2015,pop.2014,pop.2013,pop.2012,pop.2011,pop.2010,temp.2022,temp.2021,temp.2020,temp.2019,temp.2018,temp.2017,temp.2016,temp.2015,temp.2014,temp.2013,temp.2012,temp.2011,temp.2010,precip.2022,precip.2021,precip.2020,precip.2019,precip.2018,precip.2017,precip.2016,precip.2015,precip.2014,precip.2013,precip.2012,precip.2011,precip.2010,nlights.2022,nlights.2021,nlights.2020,nlights.2019,nlights.2018,nlights.2017,nlights.2016,nlights.2015,nlights.2014,nlights.2013,nlights.2012,nlights.2011,nlights.2010,ge.2010,ge.2011,ge.2012,ge.2013,ge.2014,ge.2015,ge.2016,ge.2017,ge.2018,ge.2019,ge.2020,ge.2021,ge.2022,cpt.2010,cpt.2011,cpt.2012,cpt.2013,cpt.2014,cpt.2015,cpt.2016,cpt.2017,cpt.2018,cpt.2019,cpt.2020,cpt.2021,cpt.2022,rol.2010,rol.2011,rol.2012,rol.2013,rol.2014,rol.2015,rol.2016,rol.2017,rol.2018,rol.2019,rol.2020,rol.2021,rol.2022,rq.2010,rq.2011,rq.2012,rq.2013,rq.2014,rq.2015,rq.2016,rq.2017,rq.2018,rq.2019,rq.2020,rq.2021,rq.2022,polstab.2010,polstab.2011,polstab.2012,polstab.2013,polstab.2014,polstab.2015,polstab.2016,polstab.2017,polstab.2018,polstab.2019,polstab.2020,polstab.2021,polstab.2022,voice.2010,voice.2011,voice.2012,voice.2013,voice.2014,voice.2015,voice.2016,voice.2017,voice.2018,voice.2019,voice.2020,voice.2021,voice.2022,con.2010,con.2011,con.2012,con.2013,con.2014,con.2015,con.2016,con.2017,con.2018,con.2019,con.2020,con.2021,con.2022
AFG,Badakhshan,1031699.908,888742.33,765593.68,715202.49,600918.61,1186459.9,1166333.18,1139795.58,1117071.91,1100882.01,1086178.92,1064226.54,1042513.78,2.737083641,2.3025743,1.238861026,1.731385162,2.254132456,1.849899689,2.239194358,1.849700303,1.51247871,2.121599331,1.039697611,1.770594247,1.932920282,52.04981578,34.95476086,61.75060581,60.99700027,44.36946321,53.53180678,65.18403505,69.18748077,48.80793067,60.62514195,59.17605488,53.72639618,59.3376602,,,0.001619668,0.001533847,0.001399325,0.001674732,0.001065944,0.001192524,0.001426341,0.001198867,0.000922481,,,-1.48,-1.48,-1.38,-1.4,-1.36,-1.35,-1.25,-1.36,-1.48,-1.5,-1.59,-1.63,-1.44,-1.65,-1.6,-1.43,-1.45,-1.36,-1.35,-1.54,-1.53,-1.5,-1.42,-1.49,-1.15,-1.18,-1.87,-1.92,-1.65,-1.61,-1.44,-1.52,-1.52,-1.58,-1.69,-1.74,-1.83,-1.88,-1.66,-1.52,-1.54,-1.19,-1.19,-1.12,-1.02,-1.34,-1.37,-1.14,-1.11,-1.39,-1.31,-1.27,-2.58,-2.5,-2.42,-2.52,-2.41,-2.56,-2.66,-2.79,-2.75,-2.65,-2.7,-2.52,-2.55,-1.4,-1.34,-1.27,-1.24,-1.14,-1.12,-1.04,-0.99,-1.01,-1.01,-1.08,-1.57,-1.75,,,,,,,,159,177,200,250,250,129
AFG,Badghis,747800.037,643219.39,553264.46,516353.37,546275.38,618082.62,607811.67,593826.26,581941.1,573714.17,567174.1,554834.22,542990.02,13.22161632,13.24277534,11.62763478,12.60493556,12.83890637,12.43668314,12.91701272,12.52679659,11.88856894,12.78923571,11.75343372,11.98899356,12.96798134,27.30170474,20.98113158,35.499557,37.31445206,26.96251243,29.69695738,29.75566517,34.5250901,27.91713875,25.94306144,33.25644739,27.67896888,26.9563556,,,0.001986445,0.001452207,0.001136026,0.001290609,0.000731587,0.000827949,0.001095346,0.000954679,0.000800656,,,-1.48,-1.48,-1.38,-1.4,-1.36,-1.35,-1.25,-1.36,-1.48,-1.5,-1.59,-1.63,-1.44,-1.65,-1.6,-1.43,-1.45,-1.36,-1.35,-1.54,-1.53,-1.5,-1.42,-1.49,-1.15,-1.18,-1.87,-1.92,-1.65,-1.61,-1.44,-1.52,-1.52,-1.58,-1.69,-1.74,-1.83,-1.88,-1.66,-1.52,-1.54,-1.19,-1.19,-1.12,-1.02,-1.34,-1.37,-1.14,-1.11,-1.39,-1.31,-1.27,-2.58,-2.5,-2.42,-2.52,-2.41,-2.56,-2.66,-2.79,-2.75,-2.65,-2.7,-2.52,-2.55,-1.4,-1.34,-1.27,-1.24,-1.14,-1.12,-1.04,-0.99,-1.01,-1.01,-1.08,-1.57,-1.75,,,,,,,,358,388,325,341,242,24
AFG,Baghlan,1258587.247,1082536.93,931112.41,868978.68,795518.15,1142146.39,1117998.03,1092249.19,1069191.57,1050830.03,1035306.25,1012766.58,991090.7,10.66326953,10.28287259,8.971478152,9.542053311,10.25184923,9.801461601,10.08779869,9.559270842,9.364421185,9.793084147,8.865138878,9.553368289,9.772316322,43.27467566,32.06798801,59.91638643,55.31180865,42.03273215,43.53013449,59.64491918,64.61643743,44.73104585,59.67256406,60.67934685,45.13699951,44.22614406,,,0.022339953,0.021834868,0.023035344,0.021786578,0.015651895,0.01542226,0.015617348,0.015704711,0.013412098,,,-1.48,-1.48,-1.38,-1.4,-1.36,-1.35,-1.25,-1.36,-1.48,-1.5,-1.59,-1.63,-1.44,-1.65,-1.6,-1.43,-1.45,-1.36,-1.35,-1.54,-1.53,-1.5,-1.42,-1.49,-1.15,-1.18,-1.87,-1.92,-1.65,-1.61,-1.44,-1.52,-1.52,-1.58,-1.69,-1.74,-1.83,-1.88,-1.66,-1.52,-1.54,-1.19,-1.19,-1.12,-1.02,-1.34,-1.37,-1.14,-1.11,-1.39,-1.31,-1.27,-2.58,-2.5,-2.42,-2.52,-2.41,-2.56,-2.66,-2.79,-2.75,-2.65,-2.7,-2.52,-2.55,-1.4,-1.34,-1.27,-1.24,-1.14,-1.12,-1.04,-0.99,-1.01,-1.01,-1.08,-1.57,-1.75,,,,,,,,236,279,393,324,393,246
AFG,Balkh,2286647.558,1966787.85,1691670.6,1578782.78,1575994.56,1667964.26,1632090.74,1594493.5,1555763.84,1519227.74,1483033.67,1450774.47,1420042.35,17.24290937,16.85207874,15.41991876,16.31427195,16.6732636,16.13714753,16.64299937,16.1419379,15.77433471,16.35587597,15.37155823,15.83958604,16.39009403,25.02579501,15.12537864,25.42926005,28.44277667,17.16275849,16.79055895,24.60023154,26.71406064,25.39513858,22.00783241,28.99867274,17.73559178,17.85519409,,,0.09352786,0.083727078,0.083664584,0.093935797,0.090740409,0.088451848,0.099845595,0.094980747,0.080119207,,,-1.48,-1.48,-1.38,-1.4,-1.36,-1.35,-1.25,-1.36,-1.48,-1.5,-1.59,-1.63,-1.44,-1.65,-1.6,-1.43,-1.45,-1.36,-1.35,-1.54,-1.53,-1.5,-1.42,-1.49,-1.15,-1.18,-1.87,-1.92,-1.65,-1.61,-1.44,-1.52,-1.52,-1.58,-1.69,-1.74,-1.83,-1.88,-1.66,-1.52,-1.54,-1.19,-1.19,-1.12,-1.02,-1.34,-1.37,-1.14,-1.11,-1.39,-1.31,-1.27,-2.58,-2.5,-2.42,-2.52,-2.41,-2.56,-2.66,-2.79,-2.75,-2.65,-2.7,-2.52,-2.55,-1.4,-1.34,-1.27,-1.24,-1.14,-1.12,-1.04,-0.99,-1.01,-1.01,-1.08,-1.57,-1.75,,,,,,,,211,321,613,699,483,95
AFG,Bamyan,398468.6574,342727.7,294784.23,275113.17,275447.3,557900.17,548484.05,535852.01,525199.67,517489.59,511716.71,500585.69,489884.29,5.405781266,5.089339427,3.692550716,4.315526781,5.031022688,4.55638211,4.89078894,4.303084237,4.10686582,4.537286532,3.579289596,4.249487349,4.557145034,33.10300766,26.92928946,41.98038898,39.07350728,33.2856664,31.74065487,45.43994864,44.52449218,36.05072132,44.10422831,48.35973573,32.67387266,33.10693989,,,0.001342975,0.001704692,0.001793559,0.001998225,0.000975972,0.001231177,0.000829595,0.000982253,0.001079079,,,-1.48,-1.48,-1.38,-1.4,-1.36,-1.35,-1.25,-1.36,-1.48,-1.5,-1.59,-1.63,-1.44,-1.65,-1.6,-1.43,-1.45,-1.36,-1.35,-1.54,-1.53,-1.5,-1.42,-1.49,-1.15,-1.18,-1.87,-1.92,-1.65,-1.61,-1.44,-1.52,-1.52,-1.58,-1.69,-1.74,-1.83,-1.88,-1.66,-1.52,-1.54,-1.19,-1.19,-1.12,-1.02,-1.34,-1.37,-1.14,-1.11,-1.39,-1.31,-1.27,-2.58,-2.5,-2.42,-2.52,-2.41,-2.56,-2.66,-2.79,-2.75,-2.65,-2.7,-2.52,-2.55,-1.4,-1.34,-1.27,-1.24,-1.14,-1.12,-1.04,-0.99,-1.01,-1.01,-1.08,-1.57,-1.75,,,,,,,,9,10,17,9,18,25
AFG,Daykundi,504667.749,434074.25,373355.45,348439.15,397668.11,573265.93,563668.89,550688.14,539756.45,531790.9,525897.17,514502.38,503500.32,9.838708063,9.656354909,8.181466772,8.882551953,9.590810012,9.166217891,9.497356772,8.910126946,8.674713348,9.130155636,8.229089085,8.913212453,9.196805478,24.40741585,22.63686529,28.07523538,28.1735227,25.16053921,25.12293985,31.10249078,29.19989384,25.22850906,28.70888456,29.42666467,27.12090291,25.17167543,,,0.000188856,0.000234466,0.00020027,0.000335192,0.000115228,0.000221915,0.000381462,0.000398718,0.000473905,,,-1.48,-1.48,-1.38,-1.4,-1.36,-1.35,-1.25,-1.36,-1.48,-1.5,-1.59,-1.63,-1.44,-1.65,-1.6,-1.43,-1.45,-1.36,-1.35,-1.54,-1.53,-1.5,-1.42,-1.49,-1.15,-1.18,-1.87,-1.92,-1.65,-1.61,-1.44,-1.52,-1.52,-1.58,-1.69,-1.74,-1.83,-1.88,-1.66,-1.52,-1.54,-1.19,-1.19,-1.12,-1.02,-1.34,-1.37,-1.14,-1.11,-1.39,-1.31,-1.27,-2.58,-2.5,-2.42,-2.52,-2.41,-2.56,-2.66,-2.79,-2.75,-2.65,-2.7,-2.52,-2.55,-1.4,-1.34,-1.27,-1.24,-1.14,-1.12,-1.04,-0.99,-1.01,-1.01,-1.08,-1.57,-1.75,,,,,,,,24,37,73,73,69,37
AFG,Farah,770394.0866,662676.1,570019.45,531986.66,781987.59,632857.33,621964.35,607632.62,595303.12,586016.84,578949.03,566351.16,554199.09,19.96846706,19.95206434,18.50650066,19.22952334,19.77068866,19.39483231,19.94968103,19.46628401,18.8461114,19.64682389,18.4909928,18.99405878,19.73960625,12.73033027,12.1366728,14.50042114,14.62577125,12.50017257,13.30848217,14.10668251,14.42865662,12.53294306,12.73666827,12.73302651,10.49264423,9.549087837,,,0.002127883,0.001782,0.001516631,0.001604407,0.000888004,0.000905247,0.00089798,0.001082331,0.001093453,,,-1.48,-1.48,-1.38,-1.4,-1.36,-1.35,-1.25,-1.36,-1.48,-1.5,-1.59,-1.63,-1.44,-1.65,-1.6,-1.43,-1.45,-1.36,-1.35,-1.54,-1.53,-1.5,-1.42,-1.49,-1.15,-1.18,-1.87,-1.92,-1.65,-1.61,-1.44,-1.52,-1.52,-1.58,-1.69,-1.74,-1.83,-1.88,-1.66,-1.52,-1.54,-1.19,-1.19,-1.12,-1.02,-1.34,-1.37,-1.14,-1.11,-1.39,-1.31,-1.27,-2.58,-2.5,-2.42,-2.52,-2.41,-2.56,-2.66,-2.79,-2.75,-2.65,-2.7,-2.52,-2.55,-1.4,-1.34,-1.27,-1.24,-1.14,-1.12,-1.04,-0.99,-1.01,-1.01,-1.08,-1.57,-1.75,,,,,,,,449,643,427,229,170,26
AFG,Faryab,1467059.969,1261856.25,1085355.22,1012948.99,953296.05,1269535.4,1224212.49,1196062.58,1171458.13,1152698.71,1137351.11,1112598.7,1088824.08,14.80123027,14.73988011,13.07646641,14.13604784,14.34912184,13.93360975,14.37231055,13.93966114,13.43056468,14.25590104,13.16628015,13.42300439,14.34795459,28.43082414,21.40316428,32.96309354,35.52129851,24.41639459,25.6205641,29.53348308,32.7156984,29.60911772,25.46781301,32.35722137,24.21389724,24.01936202,,,0.022382258,0.020150313,0.020591877,0.02978213,0.025615345,0.025750392,0.018201539,0.015717073,0.014056001,,,-1.48,-1.48,-1.38,-1.4,-1.36,-1.35,-1.25,-1.36,-1.48,-1.5,-1.59,-1.63,-1.44,-1.65,-1.6,-1.43,-1.45,-1.36,-1.35,-1.54,-1.53,-1.5,-1.42,-1.49,-1.15,-1.18,-1.87,-1.92,-1.65,-1.61,-1.44,-1.52,-1.52,-1.58,-1.69,-1.74,-1.83,-1.88,-1.66,-1.52,-1.54,-1.19,-1.19,-1.12,-1.02,-1.34,-1.37,-1.14,-1.11,-1.39,-1.31,-1.27,-2.58,-2.5,-2.42,-2.52,-2.41,-2.56,-2.66,-2.79,-2.75,-2.65,-2.7,-2.52,-2.55,-1.4,-1.34,-1.27,-1.24,-1.14,-1.12,-1.04,-0.99,-1.01,-1.01,-1.08,-1.57,-1.75,,,,,,,,598,719,539,527,323,53
AFG,Ghazni,2484521.883,2136984.11,1838060.32,1715400.87,1387165.36,1499612.92,1507332.72,1472613.67,1443066.08,1421516.55,1404779.94,1373785.64,1344411.47,9.178028008,8.932913202,7.648680788,8.094912122,9.066591132,8.581972975,8.822432587,8.177201373,8.106732633,8.431208438,7.578300129,8.307885296,8.544730518,23.5648443,15.83559545,35.61315797,33.79409966,23.6700072,24.64675414,34.4262813,36.89519533,25.77062707,34.61397126,33.58290499,28.42684099,23.10295479,,,0.002682393,0.002572989,0.002328636,0.001054904,0.000617174,0.000613867,0.000814859,0.000847059,0.000726876,,,-1.48,-1.48,-1.38,-1.4,-1.36,-1.35,-1.25,-1.36,-1.48,-1.5,-1.59,-1.63,-1.44,-1.65,-1.6,-1.43,-1.45,-1.36,-1.35,-1.54,-1.53,-1.5,-1.42,-1.49,-1.15,-1.18,-1.87,-1.92,-1.65,-1.61,-1.44,-1.52,-1.52,-1.58,-1.69,-1.74,-1.83,-1.88,-1.66,-1.52,-1.54,-1.19,-1.19,-1.12,-1.02,-1.34,-1.37,-1.14,-1.11,-1.39,-1.31,-1.27,-2.58,-2.5,-2.42,-2.52,-2.41,-2.56,-2.66,-2.79,-2.75,-2.65,-2.7,-2.52,-2.55,-1.4,-1.34,-1.27,-1.24,-1.14,-1.12,-1.04,-0.99,-1.01,-1.01,-1.08,-1.57,-1.75,,,,,,,,1000,1260,1280,582,455,71
AFG,Ghor,733816.4976,631172.82,542886.58,506656.57,743695.14,860590.49,846263.48,826768.41,810407.03,798706.08,789950.41,772752.43,756225.29,8.95882817,8.852046802,7.266637191,8.108063399,8.629352044,8.175207804,8.637237704,8.120368732,7.742954422,8.361998664,7.343213844,7.819115966,8.447534964,31.56389422,29.57182874,33.64457096,33.45593719,30.46169029,29.97588164,35.27405974,32.91399786,31.84345402,31.45748451,33.8951269,29.70058557,30.38256813,,,0.000203407,0.000170166,0.000174151,0.000192612,0.000122804,0.000143441,0.000176813,0.000230268,0.000163353,,,-1.48,-1.48,-1.38,-1.4,-1.36,-1.35,-1.25,-1.36,-1.48,-1.5,-1.59,-1.63,-1.44,-1.65,-1.6,-1.43,-1.45,-1.36,-1.35,-1.54,-1.53,-1.5,-1.42,-1.49,-1.15,-1.18,-1.87,-1.92,-1.65,-1.61,-1.44,-1.52,-1.52,-1.58,-1.69,-1.74,-1.83,-1.88,-1.66,-1.52,-1.54,-1.19,-1.19,-1.12,-1.02,-1.34,-1.37,-1.14,-1.11,-1.39,-1.31,-1.27,-2.58,-2.5,-2.42,-2.52,-2.41,-2.56,-2.66,-2.79,-2.75,-2.65,-2.7,-2.52,-2.55,-1.4,-1.34,-1.27,-1.24,-1.14,-1.12,-1.04,-0.99,-1.01,-1.01,-1.08,-1.57,-1.75,,,,,,,,110,135,172,192,161,35
